,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
0,Mu??faz?at ?am?h,0,SY,9/8/17 22:53,50,35.17,37.25,75.92,4.74
1,Acari,36,PE,9/8/17 22:53,90,-15.43,-74.62,47.75,1.61
2,Adrar,0,DZ,9/8/17 22:00,21,27.87,-0.29,84.2,11.41
3,Agdas,0,AZ,9/8/17 22:50,62,40.65,47.48,74.75,3.29
4,Aguachica,68,CO,9/8/17 22:54,100,8.31,-73.62,73.13,2.51
5,Akdepe,0,TM,9/8/17 22:30,38,42.06,59.38,75.2,13.87
6,Aksarka,68,RU,9/8/17 22:54,71,66.56,67.8,41.72,15.26
7,Aksay,0,RU,9/8/17 22:30,68,47.26,39.87,68,6.71
8,Aksu,48,CN,9/8/17 22:54,55,41.12,80.26,71.33,3.18
9,Albany,90,US,9/8/17 22:38,81,42.65,-73.76,53.6,3.36
10,Alindao,76,CF,9/8/17 22:54,96,5.03,21.21,73.85,3.4
11,Aljezur,76,PT,9/8/17 22:54,100,37.32,-8.8,63.95,17.38
12,Altay,12,CN,9/8/17 22:54,64,47.87,88.12,49.55,3.06
13,Macapa,20,BR,9/8/17 22:00,78,0.04,-51.07,80.6,8.05
14,Ambilobe,0,MG,9/8/17 22:54,53,-13.2,49.05,79.25,19.62
15,Rudnik,88,RU,9/8/17 22:54,82,69.75,61.65,41.36,16.6
16,Ancud,0,CL,9/8/17 22:54,88,-41.87,-73.82,33.08,5.75
17,Antonio Enes,8,MZ,9/8/17 22:54,100,-16.23,39.91,75.11,8.77
18,Anisoc,68,GQ,9/8/17 22:54,98,1.87,10.77,68.81,2.73
19,Ankazoabo,0,MG,9/8/17 22:54,46,-22.28,44.52,74.21,7.09
20,Anloga,40,GH,9/8/17 22:00,88,5.79,0.9,77,5.82
21,Antalaha,68,MG,9/8/17 22:54,90,-14.9,50.28,74.03,14.58
22,Antropovo,76,RU,9/8/17 22:54,98,58.4,43.01,56.03,12.57
23,Aonla,8,IN,9/8/17 22:54,73,28.28,79.15,92.21,7.43
24,Aquiraz,40,BR,9/8/17 22:00,69,-3.9,-38.39,78.8,17.22
25,Ardestan,0,IR,9/8/17 22:54,22,33.38,52.37,83.03,4.18
26,Arlit,0,NE,9/8/17 22:54,49,18.74,7.39,77.18,10
27,Arraial do Cabo,48,BR,9/8/17 22:54,94,-22.97,-42.03,68.45,18.84
28,Arzgir,8,RU,9/8/17 22:54,52,45.37,44.22,76.46,4.63
29,Asadabad,0,IR,9/8/17 22:00,27,34.78,48.12,73.4,4.7
30,Asmar,0,AF,9/8/17 22:54,29,35.03,71.36,82.76,2.62
31,At-Bashi,44,KG,9/8/17 22:54,27,41.17,75.81,62.6,1.95
32,Atar,12,MR,9/8/17 22:54,44,20.52,-13.05,74.21,2.62
33,Atbasar,80,KZ,9/8/17 22:54,65,51.8,68.33,59.81,7.2
34,Kashechewan,56,CA,9/8/17 22:54,72,52.3,-81.62,44.33,7.65
35,Awjilah,0,LY,9/8/17 22:54,43,29.11,21.29,77.18,3.06
36,Axim,88,GH,9/8/17 22:54,99,4.87,-2.24,73.4,6.2
37,Ayagoz,0,KZ,9/8/17 22:54,33,47.97,80.44,66.56,7.43
38,Mama Khel,1,AF,9/8/17 21:55,43,34.24,70,91.4,1.12
39,Baarle-Hertog,75,BE,9/8/17 22:43,100,51.4,4.89,55.4,5.82
40,Bafq,0,IR,9/8/17 22:54,15,31.61,55.41,88.88,5.41
41,Kuh Sefid,0,IR,9/8/17 22:54,13,29.28,56.8,73.31,3.4
42,Bahia Blanca,92,AR,9/8/17 22:50,85,-38.72,-62.27,52.7,12.91
43,Baiao,0,BR,9/8/17 22:54,86,-2.79,-49.67,76.46,3.18
44,Bambous Virieux,20,MU,9/8/17 22:00,64,-20.34,57.76,75.2,17.22
45,Banda Aceh,76,ID,9/8/17 22:54,83,5.56,95.32,84.65,1.61
46,Bandarbeyla,8,SO,9/8/17 22:54,79,9.49,50.81,83.3,20.85
47,Bandundu,68,CD,9/8/17 22:54,99,-3.32,17.37,72.59,3.62
48,Barenburg,92,DE,9/8/17 22:20,100,52.62,8.8,57.2,2.24
49,Bata,90,GQ,9/8/17 22:00,94,1.86,9.77,77,5.82
50,Bathsheba,20,BB,9/8/17 22:00,88,13.22,-59.52,80.6,8.05
51,Belem,0,BR,9/8/17 22:00,88,-1.46,-48.5,77,9.17
52,Belmonte,75,BR,9/8/17 22:00,94,-15.86,-38.88,68,4.7
53,Varnek,92,RU,9/8/17 22:53,96,69.71,60.05,43.07,19.28
54,Bengkulu,44,ID,9/8/17 22:54,99,-3.8,102.27,82.04,11.68
55,Benjamin Constant,0,BR,9/8/17 22:00,100,-4.38,-70.03,75.2,3.36
56,Berbera,0,SO,9/8/17 22:54,37,10.44,45.01,91.31,8.43
57,Breda,75,NL,9/8/17 22:43,100,51.59,4.78,55.4,5.82
58,Berlevag,32,NO,9/8/17 22:54,89,70.86,29.09,46.67,19.51
59,Bertoua,80,CM,9/8/17 22:54,99,4.58,13.68,67.64,4.18
60,Beyneu,0,KZ,9/8/17 22:54,32,45.32,55.2,76.01,4.63
61,Bharatpur,5,IN,9/8/17 21:30,63,27.22,77.48,91.4,6.93
